MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
153,Boomika (Hindi),"August 23, 2021",2021,TV-14,122,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
154,Boomika (Malayalam),"August 23, 2021",2021,TV-14,122,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
155,Boomika (Telugu),"August 23, 2021",2021,TV-14,122,"Paranormal activity at a lush, abandoned property alarms a group eager to redevelop the site, but the eerie events may not be as unearthly as they think."
156,The Witcher: Nightmare of the Wolf,"August 23, 2021",2021,TV-MA,84,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
157,Gunshot,"August 20, 2021",2018,TV-14,96,"After a clash at a protest ends in bloodshed, a forensic doctor and a journalist embark on a search for the elusive truth."
158,Man in Love,"August 20, 2021",2021,TV-MA,115,"When he meets a debt-ridden woman who's caring for her ailing father, a debt collector with a heart of gold sets out to win her love."
159,Sweet Girl,"August 20, 2021",2021,R,110,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
160,The Loud House Movie,"August 20, 2021",2021,TV-Y7,88,"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey!"
161,A Faraway Land,"August 19, 2021",2020,TV-PG,102,"In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story."
162,Like Crazy,"August 19, 2021",2011,PG-13,91,A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.
163,Black Island,"August 18, 2021",2021,TV-MA,105,The dark secrets of a seemingly peaceful island threaten to swallow up an orphaned student when he grows close to a mysterious new teacher.
164,Bombay,"August 18, 2021",1995,TV-14,135,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
165,Memories of a Murderer: The Nilsen Tapes,"August 18, 2021",2021,TV-MA,86,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.
166,Nneka The Pretty Serpent,"August 18, 2021",2020,TV-14,140,"Years after the mysterious murder of her parents, a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers."
167,O Kadhal Kanmani,"August 18, 2021",2015,TV-14,133,"It's love at first sight for a young couple repelled by the concept of marriage, but their view shifts when they meet their older-couple neighbors."
168,Out of my league,"August 18, 2021",2020,TV-MA,92,"Tired of swiping through the dating scene with her besties in tow, a charming yet awkward woman with a rare genetic disorder sets her sights on love."
